5x5
Epoch, Winner, WinnerStrategy, Player, Opponent, playerStrategy, opponentStrategy, randomAmount, greedyAmount, heuristicsAmount, shortestChainAmount, doubleDealingAmount
1, Sean, shortestChain, Sean, Jay, shortestChain, shortestChain, 2, 6, 25, 29, 38
1, Janelle, heuristic, Janelle, Fallon, heuristic, heuristic, 2, 6, 25, 29, 38
1, Merlin, heuristic, Jerica, Merlin, heuristic, heuristic, 2, 6, 25, 29, 38
1, Alice, doubleDealing, Andy, Alice, doubleDealing, doubleDealing, 2, 6, 25, 29, 38
1, Alfreda, heuristic, Alfreda, Elva, heuristic, doubleDealing, 2, 6, 25, 29, 38
1, None, None, Emelina, Lashaun, shortestChain, heuristic, 2, 6, 26, 29, 37
1, Chin, shortestChain, Chin, Desmond, shortestChain, heuristic, 2, 6, 26, 29, 37
1, Magan, heuristic, Magan, Mitzie, heuristic, random, 2, 6, 25, 30, 37
1, None, None, Cupid, Madusa, shortestChain, doubleDealing, 1, 6, 26, 30, 37
1, Marta, shortestChain, Marta, Yuonne, shortestChain, heuristic, 1, 6, 26, 30, 37
1, Kermit, shortestChain, Lasandra, Kermit, greedy, shortestChain, 1, 6, 25, 31, 37
1, Chastity, doubleDealing, Chastity, Sachiko, doubleDealing, greedy, 1, 5, 25, 32, 37
1, Coleman, heuristic, Carson, Coleman, random, heuristic, 1, 4, 25, 32, 38
2, Elva, heuristic, Elva, Desmond, heuristic, shortestChain, 0, 4, 26, 32, 38
2, Emerson, shortestChain, Emerson, Sonny, shortestChain, heuristic, 0, 4, 27, 31, 38
2, Errol, doubleDealing, Errol, David, doubleDealing, shortestChain, 0, 4, 26, 32, 38
2, Kirby, doubleDealing, Mitzie, Kirby, heuristic, doubleDealing, 0, 4, 26, 31, 39
2, Elvera, doubleDealing, Elvera, Emelina, doubleDealing, shortestChain, 0, 4, 25, 31, 40
2, Antonietta, shortestChain, Antonietta, Audria, shortestChain, greedy, 0, 4, 25, 30, 41
2, Andres, doubleDealing, Marta, Andres, shortestChain, doubleDealing, 0, 3, 25, 31, 41
2, Jewel, heuristic, Jewel, Rudolph, heuristic, doubleDealing, 0, 3, 25, 30, 42
2, Lisa, doubleDealing, Lisa, Creola, doubleDealing, heuristic, 0, 3, 26, 30, 41
2, Janelle, heuristic, Franklin, Janelle, greedy, heuristic, 0, 3, 25, 30, 42
2, Tyron, doubleDealing, Jerica, Tyron, heuristic, doubleDealing, 0, 2, 26, 30, 42
2, None, None, Thurman, Raymundo, shortestChain, doubleDealing, 0, 2, 25, 30, 43
2, Carson, heuristic, Sharmaine, Carson, heuristic, heuristic, 0, 2, 25, 30, 43
2, Lino, doubleDealing, Lino, Leila, doubleDealing, shortestChain, 0, 2, 25, 30, 43
2, Galen, shortestChain, Galen, Lashaun, shortestChain, heuristic, 0, 2, 25, 29, 44
2, Melissa, doubleDealing, Merlin, Melissa, heuristic, doubleDealing, 0, 2, 24, 30, 44
2, Doloris, shortestChain, Alfreda, Doloris, heuristic, shortestChain, 0, 2, 23, 30, 45
2, Bobby, heuristic, Jamey, Bobby, heuristic, heuristic, 0, 2, 22, 31, 45
2, Stacey, doubleDealing, Leticia, Stacey, doubleDealing, doubleDealing, 0, 2, 22, 31, 45
2, Guadalupe, doubleDealing, Sean, Guadalupe, shortestChain, doubleDealing, 0, 2, 22, 31, 45
2, None, None, Dong, Darlene, doubleDealing, doubleDealing, 0, 2, 22, 30, 46
2, Marybelle, doubleDealing, Marybelle, Sunny, doubleDealing, greedy, 0, 2, 22, 30, 46
2, Susan, doubleDealing, Susan, Eugene, doubleDealing, doubleDealing, 0, 1, 22, 30, 47
2, Bill, doubleDealing, Joel, Bill, shortestChain, doubleDealing, 0, 1, 22, 30, 47
2, Jerilyn, shortestChain, Kermit, Jerilyn, shortestChain, shortestChain, 0, 1, 22, 29, 48
2, Lorretta, doubleDealing, Garland, Lorretta, doubleDealing, doubleDealing, 0, 1, 22, 29, 48
2, Shameka, doubleDealing, Jeremy, Shameka, shortestChain, doubleDealing, 0, 1, 22, 29, 48
2, Damion, doubleDealing, Sammy, Damion, shortestChain, doubleDealing, 0, 1, 22, 28, 49
2, Sachiko, doubleDealing, Cherelle, Sachiko, heuristic, doubleDealing, 0, 1, 22, 27, 50
2, Cupid, shortestChain, Cupid, Jay, shortestChain, shortestChain, 0, 1, 21, 27, 51
2, Robby, doubleDealing, Robby, Lynn, doubleDealing, heuristic, 0, 1, 21, 27, 51
2, Chara, doubleDealing, Chara, Ernie, doubleDealing, greedy, 0, 1, 20, 27, 52
2, Roselia, doubleDealing, Tinisha, Roselia, heuristic, doubleDealing, 0, 0, 20, 27, 53
2, Earl, doubleDealing, Earl, Alice, doubleDealing, doubleDealing, 0, 0, 19, 27, 54
2, None, None, Chanda, Gerry, doubleDealing, heuristic, 0, 0, 19, 27, 54
2, Magan, heuristic, Magan, Maxine, heuristic, doubleDealing, 0, 0, 19, 27, 54
2, Courtney, shortestChain, Courtney, Laurence, shortestChain, shortestChain, 0, 0, 20, 27, 53
2, Coleman, heuristic, Coleman, Fallon, heuristic, heuristic, 0, 0, 20, 27, 53
2, Milan, shortestChain, Milan, Ben, shortestChain, heuristic, 0, 0, 20, 27, 53
2, Pat, shortestChain, Pat, Chastity, shortestChain, doubleDealing, 0, 0, 19, 28, 53
2, Andy, doubleDealing, Julian, Andy, heuristic, doubleDealing, 0, 0, 19, 29, 52
2, Mario, shortestChain, Mario, Delsie, shortestChain, shortestChain, 0, 0, 18, 29, 53
2, Ellyn, shortestChain, Hunter, Ellyn, heuristic, shortestChain, 0, 0, 18, 29, 53
2, Yuonne, shortestChain, Yuonne, Celestine, shortestChain, shortestChain, 0, 0, 17, 30, 53
2, Porter, doubleDealing, Porter, Haley, doubleDealing, heuristic, 0, 0, 17, 30, 53
2, Maura, doubleDealing, Artie, Maura, shortestChain, doubleDealing, 0, 0, 16, 30, 54
2, Lasandra, shortestChain, Madusa, Lasandra, doubleDealing, shortestChain, 0, 0, 16, 29, 55
2, Merissa, doubleDealing, Alonso, Merissa, shortestChain, doubleDealing, 0, 0, 16, 30, 54
2, None, None, Orlando, Kenyatta, shortestChain, heuristic, 0, 0, 16, 29, 55
2, Magaly, doubleDealing, Magaly, Chin, doubleDealing, shortestChain, 0, 0, 16, 29, 55
3, Lino, doubleDealing, Lino, Chastity, doubleDealing, shortestChain, 0, 0, 16, 28, 56
3, None, None, Raymundo, Sunny, doubleDealing, doubleDealing, 0, 0, 16, 27, 57
3, None, None, Damion, Elvera, doubleDealing, doubleDealing, 0, 0, 16, 27, 57
3, Emelina, doubleDealing, Bill, Emelina, doubleDealing, doubleDealing, 0, 0, 16, 27, 57
3, Tyron, doubleDealing, Tyron, Jewel, doubleDealing, heuristic, 0, 0, 16, 27, 57
3, Andres, doubleDealing, Andres, Alfreda, doubleDealing, shortestChain, 0, 0, 15, 27, 58
3, None, None, Kirby, Andy, doubleDealing, doubleDealing, 0, 0, 15, 26, 59
3, Fallon, heuristic, Fallon, Gerry, heuristic, heuristic, 0, 0, 15, 26, 59
3, Julian, doubleDealing, Susan, Julian, doubleDealing, doubleDealing, 0, 0, 15, 26, 59
3, None, None, Stacey, Darlene, doubleDealing, doubleDealing, 0, 0, 15, 26, 59
3, None, None, Celestine, Merlin, shortestChain, doubleDealing, 0, 0, 15, 26, 59
3, Guadalupe, doubleDealing, Guadalupe, Kenyatta, doubleDealing, heuristic, 0, 0, 15, 26, 59
3, Maxine, heuristic, Robby, Maxine, doubleDealing, heuristic, 0, 0, 14, 26, 60
3, Jay, shortestChain, Jay, Galen, shortestChain, shortestChain, 0, 0, 15, 26, 59
3, Tinisha, doubleDealing, Tinisha, Sonny, doubleDealing, shortestChain, 0, 0, 15, 26, 59
3, Lorretta, doubleDealing, Lorretta, Delsie, doubleDealing, shortestChain, 0, 0, 15, 25, 60
3, Leila, doubleDealing, Courtney, Leila, shortestChain, doubleDealing, 0, 0, 15, 24, 61
3, Chara, doubleDealing, Doloris, Chara, shortestChain, doubleDealing, 0, 0, 15, 23, 62
3, Chanda, doubleDealing, Chanda, Coleman, doubleDealing, heuristic, 0, 0, 15, 22, 63
3, Sean, doubleDealing, Audria, Sean, shortestChain, doubleDealing, 0, 0, 14, 22, 64
3, Hunter, shortestChain, Hunter, Jamey, shortestChain, heuristic, 0, 0, 14, 21, 65
3, Cherelle, doubleDealing, Thurman, Cherelle, shortestChain, doubleDealing, 0, 0, 13, 22, 65
3, Mitzie, doubleDealing, Mitzie, Marta, doubleDealing, doubleDealing, 0, 0, 13, 21, 66
3, Yuonne, shortestChain, Yuonne, Antonietta, shortestChain, shortestChain, 0, 0, 13, 21, 66
3, Melissa, doubleDealing, Sharmaine, Melissa, heuristic, doubleDealing, 0, 0, 13, 21, 66
3, Janelle, heuristic, Janelle, Milan, heuristic, shortestChain, 0, 0, 12, 21, 67
3, Jeremy, doubleDealing, Joel, Jeremy, doubleDealing, doubleDealing, 0, 0, 13, 20, 67
3, Desmond, heuristic, Carson, Desmond, heuristic, heuristic, 0, 0, 13, 20, 67
3, Ernie, doubleDealing, Mario, Ernie, shortestChain, doubleDealing, 0, 0, 13, 20, 67
3, Roselia, doubleDealing, Roselia, Shameka, doubleDealing, doubleDealing, 0, 0, 13, 19, 68
3, Alice, doubleDealing, Creola, Alice, doubleDealing, doubleDealing, 0, 0, 13, 19, 68
3, Orlando, shortestChain, Orlando, Ben, shortestChain, shortestChain, 0, 0, 13, 19, 68
3, Earl, doubleDealing, Lisa, Earl, doubleDealing, doubleDealing, 0, 0, 13, 19, 68
3, None, None, Eugene, Sammy, doubleDealing, doubleDealing, 0, 0, 13, 19, 68
