Epoch, Winner, WinnerStrategy, Player, Opponent, playerStrategy, opponentStrategy, randomAmount, greedyAmount, heuristicsAmount, shortestChainAmount, doubleDealingAmount
2, Chanda, doubleDealing, Jamey, Chanda, shortestChain, doubleDealing, 0, 2, 27, 33, 38
2, Coleman, doubleDealing, Coleman, Creola, doubleDealing, doubleDealing, 0, 2, 27, 32, 39
2, Julian, doubleDealing, Rudolph, Julian, heuristic, doubleDealing, 0, 2, 27, 32, 39
2, Tyron, doubleDealing, Madusa, Tyron, doubleDealing, doubleDealing, 0, 2, 26, 32, 40
2, None, None, Merlin, Errol, shortestChain, shortestChain, 0, 2, 26, 32, 40
2, Melissa, doubleDealing, Melissa, Porter, doubleDealing, heuristic, 0, 2, 26, 32, 40
2, Lynn, doubleDealing, Lynn, Thurman, doubleDealing, heuristic, 0, 2, 25, 32, 41
2, Tinisha, shortestChain, Tinisha, Galen, shortestChain, heuristic, 0, 2, 24, 32, 42
2, Hunter, shortestChain, Hunter, Janelle, shortestChain, heuristic, 0, 2, 23, 33, 42
2, Courtney, doubleDealing, Jay, Courtney, heuristic, doubleDealing, 0, 2, 22, 34, 42
2, Magaly, shortestChain, Shameka, Magaly, heuristic, shortestChain, 0, 2, 21, 34, 43
2, Chastity, doubleDealing, Sean, Chastity, doubleDealing, doubleDealing, 0, 2, 20, 35, 43
2, Alonso, doubleDealing, Alonso, Chin, doubleDealing, shortestChain, 0, 2, 20, 35, 43
2, Franklin, heuristic, Franklin, Chara, heuristic, doubleDealing, 0, 2, 20, 34, 44
2, Stacey, doubleDealing, Stacey, Celestine, doubleDealing, shortestChain, 0, 2, 21, 34, 43
2, Lino, heuristic, Lino, Jerilyn, heuristic, heuristic, 0, 2, 21, 33, 44
2, Pat, shortestChain, Magan, Pat, doubleDealing, shortestChain, 0, 2, 21, 33, 44
2, Raymundo, heuristic, Lisa, Raymundo, doubleDealing, heuristic, 0, 2, 21, 34, 43
2, Desmond, heuristic, Ernie, Desmond, heuristic, heuristic, 0, 2, 22, 34, 42
2, Gerry, shortestChain, Delsie, Gerry, heuristic, shortestChain, 0, 2, 22, 34, 42
2, Lasandra, shortestChain, Lasandra, Laurence, shortestChain, greedy, 0, 2, 21, 35, 42
2, David, shortestChain, Marta, David, doubleDealing, shortestChain, 0, 1, 21, 36, 42
2, Elva, shortestChain, Elva, Doloris, shortestChain, doubleDealing, 0, 1, 21, 37, 41
2, Alice, doubleDealing, Alice, Joel, doubleDealing, shortestChain, 0, 1, 21, 38, 40
2, Lorretta, shortestChain, Lorretta, Lashaun, shortestChain, shortestChain, 0, 1, 21, 37, 41
2, Yuonne, heuristic, Yuonne, Andy, heuristic, doubleDealing, 0, 1, 21, 37, 41
2, Emelina, doubleDealing, Emelina, Ellyn, doubleDealing, doubleDealing, 0, 1, 22, 37, 40
2, Artie, shortestChain, Artie, Audria, shortestChain, heuristic, 0, 1, 22, 37, 40
2, Mitzie, heuristic, Maura, Mitzie, shortestChain, heuristic, 0, 1, 21, 38, 40
2, Dong, doubleDealing, Dong, Kenyatta, doubleDealing, shortestChain, 0, 1, 22, 37, 40
2, Elvera, shortestChain, Elvera, Merissa, shortestChain, heuristic, 0, 1, 22, 36, 41
2, Sharmaine, heuristic, Sharmaine, Orlando, heuristic, heuristic, 0, 1, 21, 37, 41
2, Ben, shortestChain, Haley, Ben, heuristic, shortestChain, 0, 1, 21, 37, 41
2, Bill, doubleDealing, Bill, Maxine, doubleDealing, shortestChain, 0, 1, 20, 38, 41
2, Emerson, shortestChain, Emerson, Milan, shortestChain, shortestChain, 0, 1, 20, 37, 42
2, Kirby, doubleDealing, Kirby, Sachiko, doubleDealing, heuristic, 0, 1, 20, 37, 42
2, Antonietta, shortestChain, Antonietta, Eugene, shortestChain, shortestChain, 0, 1, 19, 37, 43
2, Roselia, doubleDealing, Roselia, Marybelle, doubleDealing, heuristic, 0, 1, 19, 37, 43
2, Jerica, heuristic, Jerica, Leila, heuristic, doubleDealing, 0, 1, 18, 37, 44
2, Damion, doubleDealing, Damion, Darlene, doubleDealing, shortestChain, 0, 1, 19, 37, 43
2, Kermit, doubleDealing, Guadalupe, Kermit, greedy, doubleDealing, 0, 1, 19, 36, 44
2, Andres, doubleDealing, Andres, Sunny, doubleDealing, doubleDealing, 0, 0, 19, 36, 45
2, Cherelle, doubleDealing, Cherelle, Alfreda, doubleDealing, heuristic, 0, 0, 19, 36, 45
2, Fallon, shortestChain, Fallon, Bobby, shortestChain, doubleDealing, 0, 0, 18, 36, 46
2, Robby, shortestChain, Robby, Sammy, shortestChain, shortestChain, 0, 0, 18, 37, 45
3, Courtney, doubleDealing, Courtney, Damion, doubleDealing, doubleDealing, 0, 0, 18, 37, 45
3, Desmond, heuristic, Desmond, Andy, heuristic, heuristic, 0, 0, 18, 37, 45
3, Gerry, shortestChain, Gerry, Lasandra, shortestChain, shortestChain, 0, 0, 18, 37, 45
3, Ben, shortestChain, Leticia, Ben, doubleDealing, shortestChain, 0, 0, 18, 37, 45
3, Jewel, doubleDealing, Maxine, Jewel, doubleDealing, doubleDealing, 0, 0, 18, 38, 44
3, Sachiko, doubleDealing, Sachiko, Magaly, doubleDealing, shortestChain, 0, 0, 18, 38, 44
